ZT0_1	ZT0_2	ZT0_3	ZT3_1	ZT3_2	ZT3_3	ZT6_1	ZT6_2	ZT6_3	ZT9_1	ZT9_2	ZT9_3	ZT12_1	ZT12_2	ZT12_3	ZT15_1	ZT15_2	ZT15_3	ZT18_1	ZT18_2	ZT18_3	ZT21_1	ZT21_2	ZT21_3
ostta01g00370	7.355042	7.724991	7.775726	6.466354	7.083544	7.102689	5.56069	5.424028	5.554014	5.519095	5.527004	5.577748	6.465913	6.359792	6.210852	7.343597	7.383103	7.331383	7.764088	7.942198	7.902068	7.881216	8.113595	8.180562
ostta01g00380	6.028296822	5.936752672	5.977793718	7.820244501	7.680982459	7.521751564	7.990997404	8.20857342	8.142864134	8.526558431	8.431914419	8.244433498	8.115780944	8.024637313	8.304279223	7.814483442	7.708542996	7.942302417	7.529209791	7.24641179	7.574626364	7.417331399	6.317049965	6.274501397
ostta01g00390	6.049982	6.308144	6.01533	6.884028	6.638543	6.422272	7.543447	7.679325	7.931397	7.456747	7.648645	7.722663	7.566338	7.892893	7.796558	7.94003	8.113659	7.935055	8.147807	8.159229	8.231704	8.106366	8.034134	7.82975
ostta01g00400	8.07155	7.864225	7.887614	8.06421	7.912197	7.817937	7.698991	7.72051	7.669639	7.445818	7.275536	7.270415	7.369606	7.394642	7.499264	7.310423	7.100145	7.131413	7.293117	6.934896	7.061837	6.924261	6.725716	6.71066
ostta01g00410	8.189198	8.364877	8.421368	7.797548	8.594173	8.855853	7.467555	7.32322	7.456121	7.072317	7.196202	7.397418	7.505222	7.560271	7.623672	7.633219	7.6494	7.773393	7.851673	7.816893	7.917383	7.791263	7.899616	8.099806
ostta01g00420	7.465997606	7.509080709	7.781834436	7.025684639	7.199367336	7.279788624	7.206254963	7.242407675	6.998666975	7.560644423	7.762227364	7.417896835	7.852003073	7.813085396	8.064955586	7.586451976	7.469495163	7.584526235	7.305258428	7.442133248	7.593452027	7.399201259	7.757892599	7.830636196
ostta01g00430	8.732538	9.131111	9.967249	7.46584	7.786236	8.273507	6.967662	7.134811	7.051082	7.253283	7.749833	7.59302	7.527793	7.685801	7.851871	7.383155	7.375764	7.156464	7.426605	7.598292	7.343002	7.677745	8.694626	8.649713
ostta01g00440	6.376207454	6.218123075	6.174265332	6.716582804	6.690903151	6.753873832	7.267432008	7.105881622	7.210994329	7.937868721	8.098199094	8.230605351	8.343130085	8.248603884	8.497486615	7.55831969	7.333428694	7.373609117	7.421846714	7.050683412	7.160518801	7.198681637	6.921089746	6.974381127
ostta01g00450	7.044455	7.39878	7.057338	7.558976	8.032565	8.021878	7.421065	7.45442	7.866963	7.392075	7.709035	8.112424	7.478994	7.405936	7.299193	7.422054	8.040225	7.884166	8.234445	8.01244	7.833346	8.261884	8.17805	8.168534
ostta01g00460	7.386862561	7.676069866	7.729880797	7.288125012	7.093948518	6.941526118	7.337803267	7.315768272	7.384477425	7.764297258	7.94980394	7.791204242	7.703133271	7.6473788	7.73517948	7.586037384	7.670301715	7.582231871	7.913270733	7.960349223	7.950212702	7.580309594	7.255590937	7.212984229
ostta01g00470	8.365082	8.907588	9.342747	7.962144	8.183572	8.562793	7.839944	8.126641	8.114514	7.8213	7.998967	8.373035	7.813529	8.055947	8.280872	7.892421	8.003368	8.096486	7.8026	8.080587	7.907919	8.033741	8.496795	8.603405
ostta01g00480	7.540012	7.955264	7.958317	7.073655	7.535606	7.301211	7.0878	6.897754	7.277846	7.40258	7.312793	7.492366	7.434403	7.729924	7.560592	7.678814	7.666811	7.684191	7.726636	7.83128	7.920019	8.000615	8.310587	8.22496
ostta01g00485	7.713369	7.532427	7.351485	7.280475	7.675107	7.446786	4.802456	5.071047	4.992704	4.118734	3.650204	4.255277	6.881257	6.44392	6.419111	7.336832	7.440173	7.617949	7.326502	7.487916	7.629221	7.46412	7.29547	7.126819
ostta01g00490	6.681691001	6.487852322	6.558536899	7.479202034	7.757831147	7.6185165905	7.624380059	7.963858007	8.077369771	7.701057699	7.703340104	8.142329932	8.334440205	8.035745417	8.6097279295	5.968910208	4.276569423	4.640222642	3.752609109	2.3162069035	2.217226802	4.788604775	2.87396158	3.172060734
ostta01g00500	7.694988439	7.526688456	7.574379845	7.926409857	7.61094625	7.570775231	7.673327695	7.592000563	7.573147928	7.148710231	7.230071312	7.160822632	7.254557437	7.025524361	7.22031214	7.192544306	7.152054541	7.147086207	7.695117552	7.494416378	7.38628697	8.382922159	7.848650317	7.617014124
ostta01g00510	6.607469	6.60047	6.474346	6.447185	6.360854	6.471558	6.735319	6.666929	6.556956	7.231531	7.082909	7.258297	8.23648	8.347709	8.538387	8.188444	8.035765	8.25956	8.140409	7.67671	7.854923	7.761879	7.373351	7.365932
ostta01g00520	8.000891	7.987849	8.029951	7.515882	8.167196	8.095084	6.475651	6.236423	6.173219	6.130278	5.707933	5.75595	6.370024	6.216755	6.03833	6.650727	6.622319	6.626583	6.946178	6.757377	6.773159	7.263095	6.971537	6.992994
ostta01g00540	8.131728268	8.274111095	8.15234331	8.117087791	8.160581393	8.090263479	6.367359841	6.562489944	6.689142356	4.618898838	6.146122811	6.097501884	6.531055945	7.800009397	8.004833251	6.09779348	7.832239084	7.979350034	6.258980091	7.870579426	8.071304534	6.581250482	8.134833975	8.052129523
ostta01g00550	8.866902	9.098285	9.156278	8.377068	8.112681	8.424485	6.342006	6.167406	6.539557	4.491186	4.70277	5.18741	5.231341	5.058172	4.611926	6.520452	6.905584	6.806209	7.593099	7.884778	7.904539	8.363942	8.344373	8.251341
ostta01g00560	4.845068	5.035796	5.011731	7.626099	7.427029	7.386758	7.959729	7.851845	7.980107	8.022829	8.15161	8.225642	8.092912	8.203985	8.284061	7.903522	7.696702	7.766393	7.56019	7.334551	7.438986	7.155794	7.029998	7.015625
ostta01g00570	6.474616	6.809777	7.140342	3.267895	4.084755	4.137477	2.713606	2.42793	2.526508	1.947654	2.158167	2.275478	4.031656	4.819215	4.419577	8.006037	8.137049	8.089244	8.544076	8.86376	8.904771	8.616418	8.903924	9.039243
ostta01g00580	7.725085575	7.984087425	7.749522044	6.613709575	8.410787849	8.643062518	6.696814814	6.25886338	6.350625146	6.633293247	6.63256144	6.742079041	7.041108015	7.196346803	7.177723289	7.403794906	7.528618853	7.523719539	7.834160761	7.787048747	7.82944498	7.777602139	7.797223244	7.747433257
ostta01g00590	7.668681	7.753106	7.948345	7.33269	8.607079	8.556955	7.333996	7.082247	7.199302	7.040678	7.246856	7.451866	7.080299	7.138433	7.232455	7.286025	7.499114	7.463302	7.537931	7.628368	7.569128	7.497868	7.63672	7.664269
ostta01g00600	7.588470898	7.833614217	8.305296258	7.421454422	7.423436599	7.780064462	7.606888426	7.66515025	7.654848918	8.000694085	7.974344978	8.035653807	7.675930581	7.620237621	7.646700984	7.415738404	7.425213713	7.515883108	7.243535708	7.413439225	7.358052647	7.573079302	7.397402181	7.633867884
ostta01g00610	7.287427513	7.102245851	6.88823321	8.17968594	7.964312794	8.01770358	8.245785679	8.184547371	8.235206888	8.198965837	8.156776992	8.300979965	7.492673753	6.942041887	7.155067773	6.385597001	6.04380982	5.868905164	6.36584287	6.224487153	5.783158739	6.578167907	6.401287453	6.131914527
ostta01g00620	4.173493	3.458384	3.856726	7.563145	5.808162	5.655722	8.413947	7.989814	8.100231	8.32379	8.064488	8.21791	8.360424	8.304975	8.404467	8.028604	8.120213	8.078123	7.32393	6.605932	6.863966	4.102863	3.493002	3.504195
ostta01g00630	5.187904131	6.184278469	6.287620329	7.500148641	7.217913263	7.28883819	8.093042189	8.083527431	8.301197049	8.405891204	8.344426834	8.593012046	7.973074849	7.5798902	7.70554652	7.543816628	7.644690024	7.598879472	7.384420215	7.23457225	7.499810358	6.377349295	6.40854752	6.409589984
ostta01g00650	7.967059622	8.783585398	8.971106752	6.839139236	7.048973424	7.021258289	6.648682908	6.6989819	6.927669399	7.182605782	6.806332832	7.113062433	7.455629198	7.333423012	7.429224723	7.688453949	7.793767367	7.762584093	8.127910896	8.284672998	8.271725705	8.247041472	8.820133734	8.600806896
ostta01g00660	8.149261	7.811678	7.925201	8.240125	7.719122	7.599789	7.860195	7.571162	7.56786	7.639888	7.33395	7.398615	6.69698	5.941095	6.216752	4.776064	3.488747	3.420861	6.128082	4.76413	4.379647	7.59591	7.168249	7.133559
ostta01g00670	6.189966	6.464791	6.353985	8.732393	8.582275	8.757554	8.573472	8.746379	8.737478	7.883842	8.068613	8.229661	6.745551	6.379537	6.457227	6.624519	6.285933	6.249171	6.590484	6.447223	6.688374	6.073137	6.188434	6.235187
ostta01g00680	4.260518761	4.009518687	3.863662331	6.656847089	6.302351475	6.256421437	6.673245994	6.667056729	6.6710154815	7.352234228	7.217732876	7.010865509	7.898356932	8.007059817	7.748039655	8.388443783	8.484146044	8.434933872	8.381758601	8.201766826	8.2581171	7.975484873	7.879079547	7.795314254
ostta01g00690	7.328836	7.048828	7.380615	7.335673	7.036944	7.111849	7.377543	7.103607	7.09367	7.403437	7.54594	7.481084	8.116945	8.234766	8.155781	7.867327	7.773363	7.752229	8.001231	7.898416	7.863384	7.789902	7.815968	7.887404
ostta01g00720	7.80849283	8.171299013	8.1989546625	4.645602569	6.412000429	6.295809673	2.568741809	2.181052105	2.178295381	1.907810979	1.907847395	1.919884657	4.273177448	5.17924092	4.632535615	7.128542979	7.6992611	7.78347442	7.56499653	7.922195025	8.035057673	7.467418607	8.056455246	7.918631217
ostta01g00730	7.51487	7.791698	8.204964	6.760229	7.277745	7.142844	7.134704	6.911878	7.28203	7.771807	7.826058	7.824929	7.820893	7.712957	7.669254	7.569867	7.775849	7.753187	8.128881	8.198973	8.275545	7.920262	8.167482	7.946697
ostta01g00740	7.32034523	7.245684189	6.990827696	6.961354961	6.872130013	6.719923566	7.243588242	7.16274526	7.288615055	7.477272533	7.33746598	7.304301978	7.757130518	7.922091584	7.883132708	7.779876221	7.749229971	7.644590905	7.829996237	7.710870498	7.766965752	7.40545146	7.344637969	7.20501312
ostta01g00750	6.60383	6.730607	6.681098	7.173568	8.008933	8.117092	7.325934	7.048415	7.2358	8.04093	8.022875	8.20812	8.368125	8.636292	8.725829	8.019405	8.05372	8.136899	7.280102	7.051261	7.21998	6.715786	6.376304	6.316086
ostta01g00760	8.263288255	8.266077966	8.364135885	7.809189974	8.411827352	8.342408472	6.923565967	6.679727116	6.916913177	7.005165164	6.976398325	7.235376161	7.521451112	7.352322637	7.472465192	7.200783892	7.070354808	7.24799483	6.736614537	6.690012758	6.763831665	7.478794085	7.201765923	7.195276517
ostta01g00780	7.18161	7.145476	7.05838	6.681244	6.698912	6.538804	5.9261	5.69386	5.778366	7.044954	7.067408	6.954849	7.796115	7.682393	7.749107	7.838456	7.956276	7.874225	8.16597	8.024491	8.228797	8.340736	8.140711	8.031951
ostta01g00790	8.232853	8.282138	8.385274	8.584764	8.515545	8.83643	7.544386	7.221324	7.301371	6.652511	6.340342	6.639039	5.404007	4.177905	4.114693	4.561139	4.324395	3.880981	6.746131	6.355705	6.310667	7.849815	7.850556	7.997678
