gene ZT00_0 ZT00_1 ZT03_0 ZT03_1 ZT06_0 ZT06_1 ZT09_0 ZT09_1 ZT12_0 ZT12_1 ZT15_0 ZT15_1 ZT18_0 ZT18_1 ZT21_0 ZT21_1
Cre01.g008051 1.1292 1.30616 8.63624 9.63748 9.67466 8.77026 13.332 12.0497 10.7544 11.6159 5.4063 7.40737 4.20774 4.21307 7.25215 5.54189
Cre01.g008250 0 0 0 0.0634396 0.765748 0.64956 0.670208 0.670795 0.17501 0.226025 0.0241034 0.0569212 0.0275376 0.0263807 0 0.0601739
Cre01.g008350 1.58251 1.05059 0.681478 0.428123 0.916681 0.444473 0.759318 1.34871 0.625264 0.805981 0.634705 0.690497 1.32328 0.858838 1.06398 1.01672
Cre01.g008402 0.543524 1.39031 0.272583 0.64088 0.175538 0.615651 0.563992 0.852475 0.619536 0.856454 0.631172 0.594974 0.547467 0.724955 1.05437 1.52913
Cre01.g008500 0.254078 0.768266 8.43861 10.2332 8.54735 8.86778 6.01081 4.27146 6.91155 8.02805 6.41483 5.67651 6.5302 6.52506 5.59729 6.08938
Cre01.g008550 49.622 44.1356 51.835 44.1913 46.9047 42.3672 40.1017 35.6945 33.3269 34.407 25.9228 32.8381 16.5605 17.5571 15.6752 13.942
Cre01.g008600 4.65843 5.13609 5.91196 5.80983 6.06039 7.09636 8.32422 7.57244 3.03615 3.99549 3.07358 2.72244 3.37808 3.51363 4.58832 4.08547
Cre01.g008650 8.33635 5.01176 2.37194 1.60724 1.11065 1.11446 1.60114 1.51578 2.32507 2.5251 1.69968 2.17532 5.49852 5.82782 13.8353 13.4838
Cre01.g008700 0.553394 2.74325 2.51477 4.23557 3.02311 4.06074 4.17455 2.97082 7.97505 6.37068 9.28741 6.68676 7.249 7.55229 8.90014 8.09579
Cre01.g008800 11.093 7.02189 6.87309 6.847 9.52793 8.35607 9.39923 9.10713 7.57714 7.37492 5.76181 6.35226 9.02232 9.09609 17.2367 14.8301
Cre01.g008891 0 0.247259 6.03174 7.8767 7.78297 8.12924 5.66203 6.1488 3.8596 4.01763 2.60644 3.00136 2.50028 2.60012 2.84627 2.85255
Cre01.g008976 0 0 0 0 0 0 0 0.121495 0.0459027 0 0 0.0333455 0 0.0458721 0.079857 0.0626461
Cre01.g009101 43.3095 38.1767 12.1872 10.1991 0.715785 2.53069 0 0 0 0.0133721 0 0.0361519 0 0.0835851 0.0727652 0.0914733
Cre01.g009250 0.989136 1.50071 0 0.155524 0.0163795 0.0347378 21.8173 11.7827 35.8327 60.4679 17.9493 24.6912 2.67369 5.00555 1.98979 1.61341
Cre01.g009300 77.1573 22.6648 12.8296 13.7112 15.611 15.4762 13.95 13.225 13.3947 20.232 12.2896 13.4104 17.0994 14.9902 18.6282 16.8213
Cre01.g009400 0.0530826 0.0268132 0 0.00901634 0 0 0 0 0.0447164 0.0718894 0 0.0215644 0.0234941 0.0299299 0 0.0204736
Cre01.g009450 3.08472 3.01625 3.55469 4.31225 2.65097 3.46276 2.26594 2.87844 3.45614 3.10257 6.88124 5.56869 4.10542 4.93517 4.82604 4.55519
Cre01.g009550 22.0887 6.13499 10.9668 12.2417 9.60748 9.75663 5.92858 7.54097 3.81796 5.53082 4.94767 4.74868 6.68426 6.56019 8.12469 8.3531
Cre01.g009575 0.13746 0.130368 0.088657 0.0758592 0.138291 0.114053 0.0761322 0.127639 0.0386278 0.109062 0.053202 0.111689 0.167188 0.126141 0.312552 0.61083
Cre01.g009601 0.411085 0 0 0.539165 0.496274 0 1.29303 0 0.413763 0.313874 0 0.454433 0.167204 0.430982 0.195878 0.153123
Cre01.g009850 1.28305 1.85929 5.07815 4.92447 4.20617 5.33236 3.9096 3.52557 6.8962 9.15386 8.40673 8.71345 7.98493 9.4971 8.65661 8.04149
Cre01.g010100 22.7392 15.7937 12.3058 9.25773 9.83295 8.64086 10.7332 8.62449 9.62102 8.7664 14.7165 11.0669 12.9035 10.817 35.6015 45.1373
Cre01.g010150 1.43018 1.29715 1.9543 2.2145 2.01208 2.4528 2.30192 2.81156 2.1152 4.14058 1.72531 2.74273 2.19593 2.2908 2.66597 2.51744
Cre01.g010201 0.8233 0.799474 1.2863 1.21423 1.60775 1.39685 1.90509 1.8986 0.815539 0.823413 0.804783 0.765755 0.728507 0.709097 0.872762 0.70261
Cre01.g010350 10.1151 8.10064 9.60553 9.12032 9.07424 10.6782 11.6595 10.3565 11.2332 10.5714 12.8017 11.1523 14.8622 12.9624 13.8752 13.6149
Cre01.g010550 0 0 0.660041 0.619502 4.16471 2.82732 2.325 2.21191 1.86185 2.0809 0.732945 0.81462 0.419892 0.287341 0.536015 0.193676
Cre01.g010750 23.6102 5.78941 2.96066 4.30969 7.62469 5.93928 5.99921 5.99265 6.40476 7.26522 3.95999 5.51536 7.14964 6.97291 8.87598 8.27549
Cre01.g010816 2.05504 1.87699 0.664844 0.713028 0.841198 0.85192 11.9644 7.8748 17.6008 20.0281 6.94862 10.1738 1.82136 2.64823 1.40416 1.54722
Cre01.g010832 0 0.107752 0.0688744 0.0815263 0.500518 0.353898 0.893428 0.910638 1.97669 1.31202 5.11597 4.10554 4.93325 5.83339 3.03652 2.46824
Cre01.g010864 11.1139 17.8939 20.1996 17.353 10.1297 10.4258 2.18059 2.28423 1.0955 0.995018 2.78668 1.6015 4.59046 3.21204 5.61078 4.85525
Cre01.g010950 13.2375 6.40424 5.22138 3.93348 4.74112 4.8749 3.55955 3.24618 2.88949 3.83308 2.9847 3.54393 5.55577 6.06123 7.00678 6.58152
Cre01.g011050 27.9551 16.5155 21.6016 15.23 20.6266 23.5172 15.0022 18.7423 26.0852 15.3487 45.8287 39.4904 31.9947 25.2508 21.2035 20.4968
Cre01.g011150 0 0 0 0 0 0 0.0273853 0 0.00810407 0.00654434 0 0.00585683 0 0.0244342 0.0354535 0.0557361
Cre01.g011250 0 0.0998628 0 0.0134634 0 0 1.17505 0.528975 3.5559 7.7686 2.44987 2.28514 0.526537 0.668656 0.698501 0.487682
Cre01.g011300 18.6945 11.4726 7.53504 10.0987 31.2903 26.5146 40.4402 40.6481 42.898 39.6018 74.2064 52.29 42.5561 35.4841 26.9041 26.9036
Cre01.g011350 10.6516 12.5331 8.79772 9.66696 7.45853 9.28062 10.0235 8.75519 9.68679 9.47917 14.3371 10.1968 8.19282 8.92299 7.89008 7.60751
Cre01.g011376 1.00916 1.93772 0.437575 0.343449 0.374744 0.238771 0.738666 0.373282 0.846156 0.776732 0.518652 1.29786 2.54219 2.58332 1.96241 2.24493
Cre01.g011660 0.585587 0.781166 12.7786 8.32204 7.36617 7.64161 1.75462 1.95531 0.0821444 0.021826 0.0754729 0.0460454 0.216556 0.301835 0.0477717 0.263035
Cre01.g011850 4.04062 4.47194 3.65789 3.22164 2.48807 2.60486 2.13118 2.15893 2.38428 2.60425 2.30457 2.74501 3.65271 3.63888 3.86978 3.95993
Cre01.g012000 0.0554714 0.17791 1.76326 1.83002 4.28438 3.44615 5.23719 5.52437 3.58238 4.2827 2.63487 2.77953 3.31824 3.7849 3.79577 4.25074
Cre01.g012200 26.6986 22.8907 16.6325 15.6752 16.339 17.4604 11.5847 12.2054 10.8087 11.2909 10.6391 12.0017 19.5982 19.7483 27.2887 23.9933
Cre01.g012244 16.1541 12.688 24.2876 17.9217 23.0469 24.0386 24.3559 22.7909 28.2101 18.5766 21.3747 20.0483 11.3814 9.59079 7.9733 8.19698
Cre01.g012350 70.88 88.6627 9.11493 11.1855 3.81136 6.41933 15.2693 11.9186 7.07958 12.6449 8.73263 10.7388 16.0301 22.3596 23.172 26.1905
Cre01.g012450 5.20373 6.80067 5.40597 7.29486 5.92658 7.08223 9.71374 10.4024 6.63746 15.8012 4.43401 5.45094 4.83891 6.94453 7.82632 8.36817
Cre01.g012550 1.91043 2.919 1.06474 1.23879 0.65992 0.761581 0.590527 0.45142 0.658621 0.658079 0.974401 0.908408 2.59333 2.30306 2.07963 1.72652
Cre01.g012650 0.0755467 0.0446115 0.292183 0.226598 0.157674 0.143294 0.13557 0.11227 0.134504 0.131575 0.11699 0.25577 0.311743 0.305977 0.272576 0.428538
Cre01.g012700 0 0.0179628 0 0.0120616 0 0 0 0 0.00997977 0 0 0 0.0157084 0 0.0174586 0
Cre01.g012850 1.52545 1.89866 3.22629 2.1498 1.78721 1.38873 1.55496 1.56396 1.77496 1.60595 1.41714 1.54934 2.33403 2.42141 2.15306 2.27613
Cre01.g012950 0.113014 0.0571364 0.340277 0.432583 0.82545 0.799239 0.250348 0.335823 0.08467 0.162141 0.0583009 0.0152638 0 0.0531536 0.0370094 0.058193
Cre01.g013050 0.591834 1.41937 18.1213 22.7311 12.9585 12.286 3.59038 4.3491 5.36647 5.98964 9.70484 9.10008 21.3271 22.9635 31.547 31.1396
Cre01.g013200 7.47689 6.75048 10.686 11.6509 20.4001 19.3941 49.9732 42.2833 40.9059 32.3619 17.302 20.2549 7.63937 6.85908 3.34929 3.59922
Cre01.g013300 14.0857 12.7843 14.6091 14.4096 15.3365 14.9136 17.6467 19.8131 17.4957 17.5868 13.4995 12.6657 14.3954 15.8781 14.5055 15.362
Cre01.g013450 0 0.188531 0.162249 0.404087 0.334757 0.296101 0.74756 0.833818 0.840396 0.555425 0.675807 1.16838 1.33217 1.12161 0.884801 0.957937
Cre01.g013500 0 0.242558 0 0.0469604 0.0615639 0 1.12791 0.409878 19.0883 11.1666 5.11343 5.80279 2.63645 2.4732 1.17729 1.16336
Cre01.g013650 3.24354 3.64876 2.14511 2.62329 2.82762 3.28686 4.69448 5.05886 7.81392 11.2429 6.0874 6.79442 4.60959 6.05284 5.23956 4.99461
Cre01.g013700 59.3688 47.7303 346.66 423.455 583.301 525.564 561.47 613.429 763.48 639.772 396.832 345.614 257.65 213.658 221.678 195.498
Cre01.g013800 18.7993 22.1397 8.81633 8.00171 6.66178 5.67892 8.9755 7.67479 6.50497 7.43731 6.26477 5.42958 7.37561 7.49162 8.12563 9.01722
Cre01.g013801 12.3291 8.03058 14.4017 17.2522 16.348 16.9509 9.99494 10.8605 12.2924 10.1189 14.469 12.8215 14.8337 13.988 14.9885 13.0704
Cre01.g014050 240.546 194.897 60.8514 63.0557 32.4614 40.0655 34.6779 27.7244 14.6798 17.0377 17.4653 15.7813 24.299 29.0026 37.9627 37.6985
Cre01.g014150 3.0591 3.33829 3.60042 4.71087 4.80094 5.75277 5.93267 7.4924 6.54901 9.80783 5.44378 6.74025 5.34179 6.32976 5.98633 6.19686
Cre01.g014250 0.166062 0.33581 0.053576 0.24676 0.111357 0.255859 3.17814 2.12745 3.27728 3.81461 4.27315 3.2804 7.97102 6.30275 7.22081 5.41832
Cre01.g014450 3.90983 3.31222 3.78144 3.74676 3.32464 3.94651 2.89757 3.41095 4.14591 5.68669 4.12764 4.86155 5.82857 7.15346 9.9789 8.10714
Cre01.g014600 22.8676 24.103 24.3698 20.0096 19.1067 21.6357 16.2219 19.8404 9.60526 8.3563 12.3761 11.9729 14.1257 14.7523 14.1703 14.7445
Cre01.g014650 15.5283 17.679 21.0245 17.7808 15.4035 14.2599 10.9429 11.3015 29.9353 21.6559 25.4134 23.2163 17.651 14.9203 14.1624 13.5224
Cre01.g014850 5.23987 6.87912 12.682 15.0465 19.2236 12.793 21.8814 23.2953 7.89225 7.38325 5.75413 6.47957 3.35799 2.97168 2.61523 2.14228
Cre01.g014950 4.26004 4.04992 11.5074 9.31383 10.8477 10.4623 6.06649 5.78663 5.75541 5.75288 9.05319 5.92404 9.3741 8.23394 9.48135 7.73979
Cre01.g015000 23.9447 34.9358 84.5559 75.9269 79.9425 79.49 49.1959 54.1746 35.2064 26.9376 50.1643 29.7558 29.1589 22.7878 19.0963 19.1221
Cre01.g015050 8.6478 8.27256 6.94214 7.15197 6.6618 6.73281 8.1171 9.18186 3.93628 5.30087 3.1533 3.93832 5.7357 5.91063 7.12169 7.87394
Cre01.g015300 5.651 6.94333 1.5246 2.46854 0.610427 1.20666 1.56938 1.65925 2.0917 3.04933 3.60212 2.69925 3.24431 2.72902 2.26914 2.2494
