zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta01g00190	21.2270515479748	21.6536276049969	20.4853202782457	21.5988088774338	21.1457505446017	21.3018360542428	21.1263524837178	21.1210043208979	20.7950092446159	21.2098333529051	21.2817468577316	20.2231971587808	21.5556766645917	21.823940637722	20.1498225355634	21.7352537949366	21.5386819163415	21.6383704201781
ostta01g00270	19.1307068122753	18.2998672457287	19.164541220619	18.8935582106049	19.3742118307074	18.9612849104749	18.6507979167591	18.7613640076314	19.3888082512134	18.6915596473507	19.0047919612089	19.3336003156392	19.0186149136631	18.462687968907	19.2121911723474	18.9387167294333	18.7790012901964	18.7392535717054
ostta01g00280	15.0766419819046	15.0766419819046	15.0766419819046	15.1663062641302	15.1663062641302	15.1663062641302	15.2559705463558	15.2559705463558	15.2559705463558	16.8783326484619	16.8783326484619	16.8783326484619	17.6292073223459	17.6292073223459	17.6292073223459	17.3697587370181	17.3697587370181	17.3697587370181
ostta01g00310	18.9081288032924	19.3487295678725	19.0993254561115	19.160577707952	18.8613560429934	19.308093950175	19.090534610287	19.0255801979007	18.6815115693478	18.8809962430875	18.4417160915998	18.6926959622245	19.0607052644	19.1798420762788	18.7752284082538	18.1851236969762	18.4617400827924	18.8202159007952
ostta01g00320	18.0675668921723	17.231526565074	16.1550551127792	17.6925255333132	16.2036180526585	17.1493528597925	17.2530968632431	15.9586682669087	14.9804861941399	15.3298630363689	16.9859695366596	15.1140018594164	17.2947212910369	17.1047850382294	16.5204177796928	17.1750000154891	17.2323224055725	17.1176776254057
ostta01g00330	18.9764929117821	18.4712141439412	19.5071564075779	19.0817177260366	18.9419498068107	19.0802415512117	19.0019689234792	18.9539726321445	19.4783697843283	18.6383207636051	18.4136482232104	19.5587747633212	18.7380892050269	18.8422063701807	19.8305539791953	18.9870442308819	18.6418265450047	18.475479276862
ostta01g00400	19.7318293928652	18.6650442692586	19.8681691491327	19.7654009552487	19.6100062643976	19.4234456189876	19.125654667869	19.4124953132951	19.5958587662957	19.3647537239897	19.5931198377046	20.1078856215071	19.6027463860953	18.9998072867395	20.0408408967504	20.0174815829461	19.1011184577966	19.7799501205166
ostta01g00410	18.4787550456249	18.4754778929293	17.9233553112346	18.5471664922269	18.4704867683165	18.3617173323714	18.5985561917056	18.447376419471	17.9385738235334	17.91785108965	17.9715786131434	17.6570968515153	18.1597996460911	18.2964021671493	17.8009946479313	18.2754677241656	18.1555457889245	18.0182494742061
ostta01g00450	16.0363923677819	16.0363923677819	16.0363923677819	15.0888767174862	15.0888767174862	15.0888767174862	15.732352894969	15.732352894969	15.732352894969	16.3758290724518	16.3758290724518	16.3758290724518	16.2484012187508	16.2484012187508	16.2484012187508	16.1423967932663	16.1423967932663	16.1423967932663
ostta01g00485	20.4748146596504	20.9796967376469	20.992187128319	20.6068989422677	20.7021688287194	20.8098855223261	20.6277267070928	20.7551983509	21.3919722234069	20.2847497677798	20.9132897825731	20.7950308926985	20.5810295419142	21.1920580705372	20.8460005633033	20.9259670201091	21.0708076895653	21.0870436011943
