zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta01g00190	20.4152173240567	20.5442025634865	20.2511818604238	21.2371754821529	20.8036041178193	21.4741435413892	20.8361108044324	20.6228285366252	21.5308082322639	21.3998768638542	20.9284205976391	20.7949294065686	20.8243137380928	21.1428729187266	20.6409444152336	20.6679080729811	20.6256510886407	20.2511818604238
ostta01g00250	13.9665772044021	13.9665772044021	13.9665772044021	14.3809485719476	16.6255620358767	13.8705600163115	12.4582655775778	12.4582655775778	12.4582655775778	13.8163039337051	13.8163039337051	13.8163039337051	15.1743422898324	15.1743422898324	15.1743422898324	13.9665772044021	13.9665772044021	13.9665772044021
ostta01g00270	20.1368516422334	20.0826143724445	19.824603404918	20.2335979508229	19.8199302711468	20.0224682978448	19.8386701848764	19.3732592312058	19.9310292288414	16.6712786094713	19.9511486012996	19.6308480279847	19.7155119291482	19.6222874320459	19.8891219821019	19.793262877319	19.3712687051861	19.824603404918
ostta01g00300	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	14.9452927105455	14.9452927105455	14.9452927105455	16.3996880856353	16.4693188219202	16.4345034537778	15.5978624721072	16.1954657412877	16.7930690104682	16.2677030712438	16.2677030712438	16.2677030712438
ostta01g00310	18.3903764683339	19.0497973401201	18.8977154660749	19.0627476926236	19.4163904860829	18.9961050289817	18.9881940252242	19.3181963022383	18.3945152882528	19.5874220781003	18.8715347394177	18.789166628956	18.3799106256972	18.87069847138	18.7367330939031	18.730982034824	19.1442882408695	18.8977154660749
ostta01g00320	15.7408015691647	16.1363706104833	15.938586089824	15.72375343282	15.72375343282	15.72375343282	14.8027429813096	16.2150985703222	15.5089207758159	15.4793954595061	15.4793954595061	15.4793954595061	15.500237532284	15.3995027541085	15.4498701431963	15.2552016258013	15.7662874490802	15.5107445374408
ostta01g00330	20.1165258778441	17.1798509163103	19.9400036234362	19.6870533790972	17.4504997267503	19.8572709865509	19.733470659106	18.0411346615029	19.7802899287344	19.3670398528081	16.7018301901941	19.8953922012014	19.7882943947887	17.7859530134856	20.0531428399778	19.2547792724966	19.7899579125758	19.9400036234362
ostta01g00400	19.2574172999803	19.5491426498905	19.0068974270455	19.2730557545594	19.3402524125899	19.0681975665507	19.2451647964028	19.3121381009912	18.718301874184	17.1650717103386	19.3041931927419	18.8479644931812	18.1248998690414	19.7482489025875	19.0602334071449	19.6974703964331	19.4276925518023	19.0068974270455
ostta01g00410	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	16.3051268819627	16.3632552329098	16.3341910574363	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969
ostta01g00485	20.6524403540493	20.8251916585955	20.9479135478883	20.7840692499478	20.7147587309032	21.3117143464129	20.4800433742498	20.515624106532	21.2525388662822	22.0799640875347	20.9509923312823	20.6163424957705	20.922122918717	20.9208734863662	20.9348257309308	21.4554792066675	21.2095665328282	20.9479135478883
ostta01g00500	17.1836530387301	17.3998507928853	16.4474606205419	16.9756890451657	17.2235194321522	16.5880406657205	16.1766531975928	17.3108181658296	16.5926013068184	17.3242481239125	16.075751128807	16.5717147475047	17.2429390975152	17.100732775922	16.3308162477049	16.6781564237316	17.0124463455628	16.4474606205419
ostta01g00520	16.228355254806	16.066356888182	16.147356071494	16.0140672532639	16.2772224687585	16.6845293986056	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969
ostta01g00550	17.9159579865402	18.173239958468	18.2119176486775	17.9344998423992	18.1266522316376	19.0987281745851	18.0626958910867	17.7041508078247	18.0342630130111	16.4174996596331	17.5674745975305	18.2145885215359	17.8098524219519	17.7723858995012	17.842897638512	17.7315401487465	17.9283165987235	18.2119176486775
ostta01g00610	17.3881294391213	17.5724298561989	16.7854507347712	18.5431271012687	18.6282600078938	16.7626237079182	17.3798912583101	17.4917508410728	16.8417979638239	19.0438067684836	18.2118783653952	16.8433068533167	17.9715606069054	16.4758254372642	16.6928882577465	15.4647000352643	19.2211961058183	16.7854507347712
ostta01g00620	22.5745552520706	22.9297012928134	21.7810001702344	22.4390422904088	22.6284926916609	21.5110173314005	22.3477765075261	22.4180643505833	21.3563231349962	22.6414401580445	21.6715665949243	21.833732966893	22.5045239478951	21.9828080927908	21.840224885323	22.370400438617	22.6740510872746	21.7810001702344
ostta01g00670	20.2073438742776	20.2231548048551	20.6010022584305	20.4615694697742	19.9950041665768	20.4353823568208	20.2086337672896	19.7056626676655	20.4640460465371	20.420357376608	20.1691937543857	20.4355932537759	20.0162367546015	19.9431218353872	20.4594194412373	20.154110616508	20.3987243874546	20.6010022584305
ostta01g00720	21.9327892995032	22.5743449933723	22.2542859495347	22.1476321696041	22.8705503580088	22.7677950873264	21.9955767208164	22.4085740672433	22.7786538549431	22.1946776234946	22.4662348602428	22.1435771164118	22.0770827225271	22.7310150916909	22.0075228803031	22.0965469265287	22.765288290585	22.2542859495347
ostta01g00760	19.4602378369845	19.6219345627301	19.0341086156451	19.5210285327184	19.4261215696097	19.1756502239807	19.6295431616735	19.5674147432727	19.3859184662978	19.5808406364415	19.120023971383	19.3058628587059	19.5373086642878	19.1163957558395	18.8840395305483	19.648391003698	19.6126492696001	19.0341086156451
ostta01g00800	16.4823219146279	15.7580732079937	16.9781016604199	17.0137279309754	17.0137279309754	17.0137279309754	15.9314668751022	15.9314668751022	15.9314668751022	16.9975135224411	16.9975135224411	16.9975135224411	15.907454922558	14.6642971589499	15.8982048138009	16.5484055993651	14.616814075323	16.9781016604199
ostta01g00810	18.1279729776145	17.0128784156599	19.4530399666614	17.8478235165848	17.3277794446692	19.6168183217165	17.324020677796	14.597327293798	19.6810769191902	14.6380104337308	14.5266785280075	19.3925029812504	17.9545678259458	17.4529183434909	19.1355949980481	17.6615271579646	16.6637698826736	19.4530399666614
ostta01g00860	20.7985158844635	20.840895028534	20.3743501586714	21.0472035403027	20.727892935297	20.3030734898921	20.7287929488353	20.840821812517	20.2374651057972	20.3716997485747	20.22291388092	20.0580455478772	20.801279604595	20.7097062689548	19.9827601620476	20.8689332914275	20.8224153965736	20.3743501586714
ostta01g00890	24.3384928508381	24.743320781543	24.7116665151209	24.3172629686042	25.0054058783904	24.6014992303705	24.212209221803	24.6361029657008	24.6407339272664	24.2902771869972	24.7009681680299	24.55733287226	24.2262491136603	24.5474058513231	24.6611015482621	24.2666757777203	24.4801286131263	24.7116665151209
ostta01g00970	18.0709260367276	18.4305420572983	18.0121502947781	18.015750237433	18.3469499794316	18.1813501084323	15.4655579921644	18.1532732432148	16.8094156176896	16.1186262870413	16.1186262870413	16.1186262870413	13.4103052005244	17.2010252903312	15.6721803783232	17.9755445472467	18.0326258433745	18.0121502947781
ostta01g00980	18.0014148123129	18.1969340243722	18.3133004033114	17.959681374038	17.959681374038	17.959681374038	18.7745488214479	19.0223695968541	18.368413770263	18.1709484300672	18.1709484300672	18.1709484300672	18.249309135369	18.0504431254474	18.4481751452905	17.9836525151047	18.148476459208	18.3133004033114
ostta01g01020	22.6371845796107	21.8301257248318	21.9748082269543	22.2018582039532	21.3542169820889	22.3603368660299	22.4145601660715	22.331969491164	22.1330485232112	20.1862591999721	21.2951480404118	22.1676839000331	22.7694518512257	22.8228646985261	22.0379495506411	22.8772817010211	21.9941812605533	21.9748082269543
ostta01g01030	20.9330519241233	21.1081156920433	20.562699820876	20.7615794022057	20.9556073616416	20.2465316992292	20.4854974613963	20.303156703232	19.8850720759777	20.7885316568683	21.0003542161645	20.0248700768583	20.6299732083012	20.3752468248255	20.1547842857736	20.5343585057375	20.3660281222481	20.562699820876
ostta01g01050	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	14.9733049340419	14.9733049340419	14.9733049340419	17.2480036991195	14.9160707142546	16.0820372066871	16.4579917371224	16.2050764625151	16.3315340998187
ostta01g01080	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	16.7375779466177	15.8263829332371	16.2819804399274	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969	8.71722916042969
ostta01g01085	20.7487261331144	20.3826263879344	20.9209427971803	20.4190421210947	21.5333213261115	20.6312994697265	20.3148570375317	20.6512180406126	20.7518735642574	20.6707819662134	20.8535740151862	20.7880259398597	20.5542591103099	20.8142937124185	20.7887917424257	19.8172598024612	21.3437285111392	20.9209427971803
